@RELATION data/79New.ckpt
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {7,9}

@DATA
0.090876,0.041009,3.217114,0.155376,0.162857,0.993120,0.001799,0.176583,-21.369076,1.425311,-0.197125,0.039992,0.144839,0.038333,0.030583,0.104746,-0.058434,-0.114791,0.090659,0.173506,-0.033558,0.009261,0.005421,0.029554,0.008639,0.017285,0.012280,0.035611,0.005595,0.008088,0.010195,0.023098,0.005820,0.012637,0.016060,0.007542,0.041690,0.013369,0.009032,0.196462,0.000838,0.028055,0.410813,0.271665,0.150977,0.131674,0.131401,0.140114,0.136320,0.149118,0.119099,0.127588,0.122608,0.118577,0.137577,0.005417,0.003268,0.013557,0.004167,0.008423,0.006862,0.014772,0.005209,0.004932,0.007696,0.014311,0.002911,0.003925,7
0.091226,0.047647,3.218311,0.162970,0.168271,1.029067,0.001549,0.182344,-21.226850,1.335954,-0.111083,0.084529,0.273873,0.055998,0.040217,0.164911,-0.067802,-0.104420,0.083245,0.220048,-0.000165,0.008626,0.005077,0.037251,0.006719,0.019587,0.010288,0.051653,0.004366,0.007290,0.010155,0.022806,0.004286,0.017128,0.008287,0.006295,0.042357,0.006284,0.007669,0.096485,0.000316,0.010913,0.182928,0.152971,0.132350,0.130123,0.143661,0.160780,0.143575,0.127596,0.129607,0.125952,0.118810,0.111170,0.150062,0.005016,0.003043,0.017593,0.003006,0.007732,0.005426,0.025869,0.004394,0.004964,0.006209,0.012223,0.002399,0.005355,7
0.089313,0.035509,3.224504,0.158843,0.163725,0.989020,0.001592,0.173042,-21.767930,1.173889,-0.136186,0.210027,0.278325,0.058520,0.012850,0.204699,-0.070029,-0.135395,0.064445,0.297117,0.016773,0.007731,0.005655,0.041420,0.006193,0.016893,0.008370,0.068192,0.002686,0.005992,0.008266,0.020398,0.003343,0.021245,0.011056,0.006352,0.046076,0.007884,0.007655,0.145557,0.000328,0.021200,0.214088,0.173499,0.144777,0.136195,0.137019,0.169734,0.150504,0.127923,0.122135,0.140915,0.121933,0.125557,0.156332,0.004954,0.003732,0.017137,0.002994,0.007060,0.004524,0.037715,0.001880,0.004297,0.004682,0.010734,0.002259,0.008462,7
0.084301,0.021722,3.146627,0.158049,0.167249,0.925920,0.001710,0.163542,-22.429379,1.622218,-0.145226,0.074995,0.160980,0.135793,0.083588,0.155409,-0.090071,-0.239037,-0.060044,0.254689,0.019761,0.012375,0.006555,0.030692,0.010598,0.023630,0.009535,0.041347,0.002420,0.006505,0.009893,0.024183,0.004242,0.014030,0.013047,0.004225,0.087255,0.011101,0.007928,0.195370,0.000639,0.030572,0.306622,0.222668,0.165585,0.182033,0.151482,0.135713,0.143082,0.156951,0.135648,0.159974,0.132525,0.132447,0.113120,0.007117,0.003921,0.011903,0.005602,0.010582,0.004780,0.018115,0.001933,0.003490,0.007183,0.011262,0.003062,0.003873,7
0.085895,0.043234,3.156680,0.157718,0.165930,0.967520,0.001433,0.172615,-21.377788,1.684220,-0.117658,-0.028687,0.155308,0.100161,0.088863,0.179840,-0.103776,-0.208091,-0.048497,0.242640,0.017329,0.014152,0.005792,0.027795,0.009687,0.024987,0.007077,0.037346,0.003413,0.007526,0.009952,0.024981,0.003567,0.012774,0.008931,0.005553,0.057047,0.006486,0.007683,0.117490,0.000258,0.021402,0.159403,0.161826,0.154729,0.148874,0.158685,0.130900,0.112331,0.155244,0.126145,0.121885,0.124193,0.106998,0.126333,0.007498,0.003636,0.009211,0.005032,0.009675,0.003517,0.013842,0.002406,0.004462,0.005578,0.009653,0.002339,0.002808,7
0.096004,0.030438,3.179931,0.162317,0.163795,1.122870,0.001252,0.192375,-21.822741,1.536313,-0.122652,-0.034497,0.139278,0.053476,0.091125,0.180794,-0.104680,-0.222328,0.009071,0.237532,-0.008363,0.012663,0.005612,0.026262,0.009711,0.020305,0.006539,0.033691,0.003590,0.008701,0.009946,0.020156,0.003567,0.011359,0.009754,0.003815,0.047904,0.008187,0.008039,0.130711,0.000219,0.021141,0.166217,0.176665,0.139250,0.134647,0.159323,0.135575,0.113374,0.141283,0.133936,0.128288,0.133363,0.104640,0.121734,0.006755,0.003360,0.009082,0.005093,0.008703,0.003388,0.011957,0.002352,0.004538,0.005132,0.008431,0.001915,0.002549,7
0.099547,0.029558,3.187255,0.165081,0.163374,1.194205,0.001194,0.197969,-21.848821,1.439328,-0.156028,-0.062545,0.072678,-0.022079,0.036780,0.223166,-0.091931,-0.239978,0.062808,0.251368,0.006800,0.010167,0.006570,0.024057,0.012870,0.015803,0.008122,0.034583,0.003565,0.008409,0.008969,0.016949,0.004435,0.010749,0.009310,0.003550,0.044466,0.009097,0.009482,0.118929,0.000194,0.015583,0.169617,0.149989,0.126049,0.129415,0.158290,0.142985,0.150890,0.121516,0.141298,0.125066,0.125628,0.120416,0.116722,0.005143,0.003932,0.009011,0.005256,0.006712,0.004554,0.012352,0.002475,0.003729,0.005014,0.007584,0.002429,0.002539,7
0.093966,0.035433,3.172082,0.162201,0.163259,1.124824,0.001265,0.192771,-21.594923,1.504309,-0.223698,-0.205791,-0.082902,-0.098357,0.041084,0.306261,-0.053739,-0.227215,0.062718,0.233708,0.008819,0.011112,0.007166,0.021303,0.016424,0.013501,0.010903,0.030742,0.004072,0.006798,0.008792,0.017084,0.005326,0.009649,0.007381,0.004143,0.048321,0.007674,0.009773,0.096321,0.000229,0.011714,0.167653,0.146558,0.137326,0.136058,0.143297,0.147452,0.150682,0.139257,0.152069,0.121828,0.123641,0.119498,0.122767,0.005477,0.004270,0.008094,0.005645,0.006124,0.006812,0.011796,0.003088,0.003427,0.004769,0.007074,0.003380,0.002221,7
0.076480,0.023459,3.094026,0.156309,0.168311,0.859063,0.001604,0.153187,-22.301606,1.843236,-0.185411,-0.201806,-0.162088,0.003156,0.007500,0.352126,-0.047240,-0.278836,0.049106,0.192160,-0.050290,0.013037,0.008010,0.031035,0.014778,0.016235,0.011688,0.038903,0.004233,0.007499,0.010953,0.018426,0.005127,0.012808,0.007988,0.003325,0.085608,0.012764,0.012228,0.115186,0.000429,0.025500,0.199493,0.142619,0.144440,0.152360,0.147828,0.160132,0.143069,0.161613,0.126403,0.131323,0.137896,0.126911,0.125285,0.006880,0.004834,0.013052,0.005366,0.008094,0.007531,0.019358,0.003842,0.004540,0.005604,0.007160,0.003577,0.004403,7
0.059520,0.017242,3.100186,0.140413,0.164684,0.592819,0.002382,0.103365,-22.955056,2.040399,-0.218241,-0.003753,-0.063267,0.127281,0.043555,0.263034,-0.050102,-0.314520,0.109831,0.232857,-0.099213,0.010521,0.007647,0.036496,0.011771,0.018693,0.011257,0.056386,0.005138,0.007092,0.013240,0.031175,0.003978,0.019269,0.012042,0.004247,0.097821,0.017944,0.015938,0.183726,0.000734,0.046458,0.297860,0.159028,0.141967,0.163406,0.169945,0.157735,0.159867,0.175239,0.125275,0.144865,0.142104,0.153531,0.130961,0.006478,0.004327,0.017029,0.005144,0.009117,0.006618,0.028845,0.006504,0.004669,0.008082,0.017661,0.002608,0.008274,7
0.090197,0.022317,3.154063,0.149555,0.159448,0.971933,0.001789,0.172705,-22.384002,1.356864,-0.277008,-0.012388,0.135310,0.152006,0.064255,0.225953,-0.022302,-0.183501,0.141738,0.141024,-0.103256,0.008479,0.006033,0.026594,0.010531,0.010257,0.012180,0.046689,0.005242,0.007812,0.009064,0.024426,0.003641,0.014535,0.018876,0.005926,0.108425,0.012967,0.015153,0.262773,0.000592,0.046858,0.553585,0.272877,0.153455,0.159335,0.111513,0.136029,0.146546,0.146166,0.153378,0.146029,0.165126,0.136438,0.172757,0.004953,0.004063,0.010645,0.004687,0.004036,0.008026,0.019320,0.003965,0.005946,0.004638,0.015341,0.002838,0.005433,7
0.102225,0.022996,3.153885,0.171027,0.162807,1.244378,0.001320,0.216542,-22.284243,1.220594,-0.040441,0.169336,0.141400,0.086092,0.001284,0.264356,-0.095000,-0.353215,0.121781,0.203336,-0.036148,0.010950,0.008124,0.025394,0.008192,0.013166,0.009291,0.032711,0.003266,0.005880,0.009307,0.016279,0.002755,0.010656,0.009967,0.003982,0.079913,0.010404,0.010403,0.139572,0.000288,0.022585,0.234623,0.178810,0.152576,0.141410,0.154340,0.146546,0.171693,0.138562,0.135789,0.153698,0.126406,0.150370,0.147572,0.006587,0.005253,0.009559,0.003894,0.006684,0.005598,0.012603,0.002191,0.003291,0.005020,0.008158,0.001432,0.003197,7
0.093836,0.031846,3.161194,0.167482,0.165468,1.119980,0.001268,0.209302,-21.864264,1.529993,0.012026,0.099689,0.121054,0.033454,0.057295,0.238178,-0.074691,-0.346859,0.151539,0.188740,-0.007894,0.013808,0.008219,0.030155,0.008181,0.015325,0.009939,0.040897,0.003366,0.008203,0.014013,0.020323,0.003132,0.013323,0.007971,0.005115,0.063924,0.008402,0.008943,0.106053,0.000271,0.018188,0.155518,0.134566,0.161432,0.121426,0.128387,0.139388,0.149040,0.149531,0.109886,0.129083,0.110480,0.146118,0.136223,0.007190,0.004813,0.015629,0.004016,0.007233,0.005614,0.017354,0.002036,0.004652,0.007582,0.010494,0.001598,0.004575,7
0.086614,0.037453,3.152920,0.163271,0.163837,1.040218,0.001494,0.197552,-21.859225,1.586662,0.054594,0.005758,0.097661,0.031020,-0.021082,0.333451,-0.156113,-0.315935,0.117284,0.231914,0.040346,0.012918,0.009178,0.032689,0.008292,0.014853,0.008821,0.056440,0.002884,0.010273,0.014471,0.021333,0.003260,0.016889,0.009708,0.011642,0.076028,0.007483,0.009235,0.139178,0.000794,0.027923,0.144585,0.157562,0.161209,0.138542,0.131139,0.140118,0.122719,0.150124,0.122715,0.118600,0.111314,0.155653,0.109539,0.007459,0.005199,0.024566,0.004580,0.006657,0.004749,0.034333,0.001882,0.005700,0.007889,0.012624,0.001843,0.010070,7
0.074656,0.029041,3.142342,0.149330,0.160099,0.843869,0.002107,0.155042,-22.282127,1.665251,-0.048825,-0.001509,0.101630,0.083898,-0.062658,0.344824,-0.196391,-0.277661,0.106216,0.223372,-0.018767,0.011431,0.008394,0.036774,0.010978,0.014876,0.010779,0.057217,0.003686,0.009317,0.013980,0.020844,0.003339,0.017727,0.012006,0.010323,0.076881,0.012433,0.013335,0.176832,0.000939,0.036743,0.280354,0.200237,0.174097,0.152761,0.152366,0.148976,0.126378,0.149560,0.150690,0.148067,0.123331,0.139170,0.113208,0.008306,0.005200,0.022531,0.006647,0.007149,0.007690,0.035418,0.003361,0.005806,0.007808,0.012239,0.002133,0.009670,7
0.102465,0.029863,3.141727,0.174876,0.167037,1.222190,0.001436,0.206385,-21.979226,1.204318,-0.109711,-0.074012,0.247749,0.323217,0.000182,0.186657,-0.137347,-0.190546,0.032874,0.239923,0.128172,0.008369,0.007083,0.021513,0.007991,0.018905,0.016996,0.040512,0.003965,0.005794,0.009384,0.012932,0.002874,0.012928,0.013606,0.007602,0.087576,0.010838,0.007349,0.190197,0.000312,0.026661,0.291846,0.158274,0.140858,0.147341,0.140275,0.142789,0.151608,0.140871,0.124484,0.136382,0.166300,0.161221,0.143982,0.005447,0.005103,0.010490,0.003822,0.008884,0.011368,0.023951,0.003248,0.003310,0.005623,0.008771,0.001768,0.006301,7
0.106049,0.029625,3.124407,0.178518,0.167350,1.274108,0.001292,0.220760,-22.084695,1.359900,0.143021,-0.031587,0.156209,0.242470,-0.141351,0.175528,-0.241961,-0.155158,0.055287,0.286120,0.085693,0.010756,0.005271,0.024950,0.009566,0.020739,0.018055,0.041684,0.004221,0.006186,0.009511,0.017868,0.002691,0.013950,0.011547,0.005434,0.077001,0.009253,0.008410,0.177026,0.000283,0.028465,0.200347,0.154570,0.141719,0.137417,0.130116,0.122379,0.134423,0.123137,0.127860,0.133346,0.137228,0.159570,0.146027,0.007482,0.004057,0.012735,0.004905,0.009459,0.010289,0.025102,0.003842,0.003101,0.006149,0.008308,0.001578,0.005849,7
0.107362,0.030841,3.150575,0.182897,0.170836,1.274202,0.001203,0.228292,-22.095370,1.543223,0.312872,-0.015373,0.101150,0.143792,-0.196805,0.115374,-0.259765,-0.092434,0.048249,0.331453,0.090640,0.010094,0.004215,0.024279,0.009682,0.023474,0.023505,0.044440,0.003426,0.007728,0.009106,0.018123,0.003375,0.015123,0.010714,0.004203,0.065891,0.009390,0.011025,0.157656,0.000220,0.024846,0.175978,0.162271,0.160024,0.136847,0.127618,0.135276,0.124708,0.126277,0.133155,0.135512,0.116033,0.145272,0.131457,0.006930,0.002629,0.012497,0.005407,0.011697,0.014588,0.019373,0.003017,0.005280,0.005505,0.008274,0.002289,0.004127,7
0.095795,0.025315,3.126400,0.181426,0.175370,1.125875,0.001484,0.214146,-22.465640,1.747071,0.255887,-0.042479,0.114039,0.070607,-0.183132,0.142956,-0.173636,-0.092875,0.084623,0.308710,0.065788,0.006979,0.004733,0.026179,0.008611,0.026036,0.025639,0.058847,0.002999,0.009789,0.011501,0.013636,0.004015,0.018117,0.011671,0.003512,0.076931,0.012045,0.010426,0.174406,0.000367,0.035725,0.184060,0.171045,0.177301,0.129823,0.144294,0.166537,0.142406,0.123541,0.134729,0.146956,0.114874,0.160066,0.130710,0.004393,0.002974,0.013033,0.004985,0.013825,0.016584,0.023695,0.002550,0.007047,0.007107,0.007028,0.002803,0.005095,7
0.086322,0.027425,3.103096,0.172189,0.175108,0.950573,0.001462,0.188740,-22.289822,1.950807,0.066364,-0.166171,0.031922,0.018669,-0.113096,0.192127,-0.097121,-0.122918,0.053843,0.297359,0.026310,0.008765,0.005902,0.025959,0.008667,0.025034,0.020257,0.047065,0.003832,0.012505,0.012716,0.031081,0.003955,0.016710,0.010431,0.003210,0.083943,0.011221,0.009793,0.142182,0.000361,0.038172,0.158424,0.141239,0.153509,0.118048,0.134933,0.166558,0.130535,0.128800,0.128830,0.141265,0.113257,0.135414,0.118616,0.004089,0.003313,0.011516,0.005201,0.011831,0.013182,0.018341,0.003314,0.006649,0.007828,0.011345,0.002428,0.003838,7
0.079575,0.017025,3.110006,0.166331,0.174784,0.847057,0.001416,0.167927,-23.077933,1.974649,-0.037704,-0.250985,0.005721,0.083950,-0.108068,0.261301,-0.053354,-0.141688,0.049598,0.285643,-0.020558,0.008706,0.007134,0.033221,0.008282,0.020730,0.013327,0.061285,0.004267,0.010672,0.010207,0.040603,0.003744,0.021481,0.010530,0.003655,0.071953,0.009944,0.010978,0.126510,0.000315,0.039606,0.167603,0.118599,0.165516,0.133858,0.130409,0.147328,0.117688,0.131925,0.124197,0.141198,0.115100,0.117757,0.107278,0.004136,0.004242,0.018598,0.004636,0.009336,0.008750,0.030908,0.003879,0.005380,0.006388,0.014714,0.002489,0.007683,7
